dataset,task,n,model,target,cfg_source,flash_bytes,ram_bytes,insns_per_inf,latency_us,determinism_insns,n_test,n_correct,explain_insns_per_inf,explain_latency_us,explain_agree,params
adult,bin,48842,DTree-d3,cortex-m0,recovered,206,0,90.81347656,1.891947428,10,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
adult,bin,48842,DTree-d3,cortex-m4f,recovered,204,0,40.8125,0.408125,4,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
adult,bin,48842,DTree-d6,cortex-m0,recovered,446,0,109.0634766,2.272155762,9,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
adult,bin,48842,DTree-d6,cortex-m4f,recovered,386,0,53.125,0.53125,8,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
adult,bin,48842,RF-20,cortex-m0,recovered,7876,0,883.0634766,18.39715576,153,16,15,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 5}"
adult,bin,48842,RF-20,cortex-m4f,recovered,6388,0,590,5.9,95,16,15,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 5}"
adult,bin,48842,RF-40,cortex-m0,recovered,20124,0,1695.750977,35.32814535,172,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
adult,bin,48842,RF-40,cortex-m4f,recovered,16212,0,1215.25,12.1525,53,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
adult,bin,48842,LinearSVM,cortex-m0,recovered,348,0,9999.875977,208.3307495,182,16,16,,,,"{""C"": 0.1}"
adult,bin,48842,LinearSVM,cortex-m4f,recovered,336,0,368.3127441,3.683127441,0,16,16,,,,"{""C"": 0.1}"
adult,bin,48842,LogReg,cortex-m0,recovered,348,0,9995.313477,208.2356974,97,16,16,,,,"{""C"": 0.1}"
adult,bin,48842,LogReg,cortex-m4f,recovered,336,0,368.3127441,3.683127441,0,16,16,,,,"{""C"": 0.1}"
adult,bin,48842,GaussianNB,cortex-m0,recovered,1300,0,71378.81348,1487.058614,50,16,16,,,,"{""var_smoothing"": 1e-09}"
adult,bin,48842,GaussianNB,cortex-m4f,recovered,1280,0,1290.3125,12.903125,0,16,16,,,,"{""var_smoothing"": 1e-09}"
bank-marketing,bin,45211,DTree-d3,cortex-m0,recovered,230,0,88.75097656,1.848978678,0,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.001}"
bank-marketing,bin,45211,DTree-d3,cortex-m4f,recovered,220,0,36.625,0.36625,0,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.001}"
bank-marketing,bin,45211,DTree-d6,cortex-m0,recovered,490,0,112.0634766,2.334655762,9,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
bank-marketing,bin,45211,DTree-d6,cortex-m4f,recovered,386,0,51.9375,0.519375,5,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
bank-marketing,bin,45211,RF-20,cortex-m0,recovered,9164,0,827.2509766,17.23439535,19,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 5}"
bank-marketing,bin,45211,RF-20,cortex-m4f,recovered,7208,0,554.75,5.5475,16,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 5}"
bank-marketing,bin,45211,RF-40,cortex-m0,recovered,22220,0,1654.500977,34.46877035,67,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 1}"
bank-marketing,bin,45211,RF-40,cortex-m4f,recovered,17512,0,1105.5625,11.055625,49,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 1}"
bank-marketing,bin,45211,LinearSVM,cortex-m0,recovered,268,0,7610.688232,158.5560048,91,16,16,,,,"{""C"": 0.1}"
bank-marketing,bin,45211,LinearSVM,cortex-m4f,recovered,260,0,273.3127441,2.733127441,0,16,16,,,,"{""C"": 0.1}"
bank-marketing,bin,45211,LogReg,cortex-m0,recovered,268,0,7611.688232,158.5768382,67,16,16,,,,"{""C"": 0.1}"
bank-marketing,bin,45211,LogReg,cortex-m4f,recovered,260,0,273.3127441,2.733127441,0,16,16,,,,"{""C"": 0.1}"
bank-marketing,bin,45211,GaussianNB,cortex-m0,recovered,992,0,52842.31323,1100.881526,92,16,16,,,,"{""var_smoothing"": 1e-07}"
bank-marketing,bin,45211,GaussianNB,cortex-m4f,recovered,976,0,948.3125,9.483125,0,16,16,,,,"{""var_smoothing"": 1e-07}"
electricity,bin,45312,DTree-d3,cortex-m0,recovered,174,0,82.25097656,1.713562012,0,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
electricity,bin,45312,DTree-d3,cortex-m4f,recovered,172,0,32.3125,0.323125,0,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
electricity,bin,45312,DTree-d6,cortex-m0,recovered,478,0,105.6259766,2.200541178,12,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
electricity,bin,45312,DTree-d6,cortex-m4f,recovered,392,0,51.25,0.5125,5,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
electricity,bin,45312,RF-20,cortex-m0,recovered,10376,0,817.3134766,17.0273641,18,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
electricity,bin,45312,RF-20,cortex-m4f,recovered,8466,0,574.4375,5.744375,13,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
electricity,bin,45312,RF-40,cortex-m0,recovered,18008,0,1511.688477,31.49350993,94,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
electricity,bin,45312,RF-40,cortex-m4f,recovered,14776,0,1090.8125,10.908125,79,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
electricity,bin,45312,LinearSVM,cortex-m0,recovered,120,0,2424.688232,50.51433818,39,16,16,,,,"{""C"": 10.0}"
electricity,bin,45312,LinearSVM,cortex-m4f,recovered,112,0,88.31274414,0.883127441,0,16,16,,,,"{""C"": 10.0}"
electricity,bin,45312,LogReg,cortex-m0,recovered,120,0,2401.500732,50.03126526,25,16,16,,,,"{""C"": 100}"
electricity,bin,45312,LogReg,cortex-m4f,recovered,112,0,88.31274414,0.883127441,0,16,16,,,,"{""C"": 100}"
electricity,bin,45312,GaussianNB,cortex-m0,recovered,396,0,14799.06323,308.3138173,37,16,16,,,,"{""var_smoothing"": 1e-09}"
electricity,bin,45312,GaussianNB,cortex-m4f,recovered,384,0,282.3125,2.823125,0,16,16,,,,"{""var_smoothing"": 1e-09}"
spambase,bin,4601,DTree-d3,cortex-m0,recovered,174,0,99.43847656,2.071634928,8,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
spambase,bin,4601,DTree-d3,cortex-m4f,recovered,170,0,42.5625,0.425625,4,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
spambase,bin,4601,DTree-d6,cortex-m0,recovered,202,0,99.56347656,2.074239095,17,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0}"
spambase,bin,4601,DTree-d6,cortex-m4f,recovered,186,0,42.875,0.42875,10,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0}"
spambase,bin,4601,RF-20,cortex-m0,recovered,4150,0,717.1884766,14.9414266,210,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 20}"
spambase,bin,4601,RF-20,cortex-m4f,recovered,3474,0,436.0625,4.360625,129,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 20}"
spambase,bin,4601,RF-40,cortex-m0,recovered,19336,0,1875.563477,39.0742391,64,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 1}"
spambase,bin,4601,RF-40,cortex-m4f,recovered,14950,0,1132.9375,11.329375,24,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 1}"
spambase,bin,4601,LinearSVM,cortex-m0,recovered,292,0,11576.37573,241.1744944,217,16,16,,,,"{""C"": 10.0}"
spambase,bin,4601,LinearSVM,cortex-m4f,recovered,284,0,303.3127441,3.033127441,0,16,16,,,,"{""C"": 10.0}"
spambase,bin,4601,LogReg,cortex-m0,recovered,292,0,11603.43823,241.7382965,263,16,16,,,,"{""C"": 1}"
spambase,bin,4601,LogReg,cortex-m4f,recovered,284,0,303.3127441,3.033127441,0,16,16,,,,"{""C"": 1}"
spambase,bin,4601,GaussianNB,cortex-m0,recovered,1088,0,58747.18823,1223.899755,1268,16,16,,,,"{""var_smoothing"": 1e-07}"
spambase,bin,4601,GaussianNB,cortex-m4f,recovered,1072,0,1056.3125,10.563125,0,16,16,,,,"{""var_smoothing"": 1e-07}"
phoneme,bin,5404,DTree-d3,cortex-m0,recovered,206,0,92.50097656,1.927103678,6,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
phoneme,bin,5404,DTree-d3,cortex-m4f,recovered,190,0,41.8125,0.418125,5,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
phoneme,bin,5404,DTree-d6,cortex-m0,recovered,506,0,101.8134766,2.121114095,16,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.001}"
phoneme,bin,5404,DTree-d6,cortex-m4f,recovered,408,0,50.3125,0.503125,12,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.001}"
phoneme,bin,5404,RF-20,cortex-m0,recovered,9196,0,800.8759766,16.68491618,90,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5}"
phoneme,bin,5404,RF-20,cortex-m4f,recovered,7312,0,607.5,6.075,72,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5}"
phoneme,bin,5404,RF-40,cortex-m0,recovered,23204,0,1621.500977,33.78127035,194,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
phoneme,bin,5404,RF-40,cortex-m4f,recovered,18136,0,1275.25,12.7525,144,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
phoneme,bin,5404,LinearSVM,cortex-m0,recovered,84,0,1072.188232,22.33725484,88,16,16,,,,"{""C"": 0.001}"
phoneme,bin,5404,LinearSVM,cortex-m4f,recovered,76,0,43.31274414,0.433127441,0,16,16,,,,"{""C"": 0.001}"
phoneme,bin,5404,LogReg,cortex-m0,recovered,84,0,1082.500732,22.55209859,140,16,16,,,,"{""C"": 1}"
phoneme,bin,5404,LogReg,cortex-m4f,recovered,76,0,43.31274414,0.433127441,0,16,16,,,,"{""C"": 1}"
phoneme,bin,5404,GaussianNB,cortex-m0,recovered,252,0,5449.188232,113.5247548,64,16,16,,,,"{""var_smoothing"": 1e-08}"
phoneme,bin,5404,GaussianNB,cortex-m4f,recovered,240,0,120.3125,1.203125,0,16,16,,,,"{""var_smoothing"": 1e-08}"
MagicTelescope,bin,19020,DTree-d3,cortex-m0,recovered,198,0,92.37597656,1.924499512,4,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
MagicTelescope,bin,19020,DTree-d3,cortex-m4f,recovered,174,0,41.0625,0.410625,0,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
MagicTelescope,bin,19020,DTree-d6,cortex-m0,recovered,470,0,105.8134766,2.204447428,7,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0}"
MagicTelescope,bin,19020,DTree-d6,cortex-m4f,recovered,394,0,49.6875,0.496875,6,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0}"
MagicTelescope,bin,19020,RF-20,cortex-m0,recovered,10036,0,857.8759766,17.87241618,33,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
MagicTelescope,bin,19020,RF-20,cortex-m4f,recovered,8262,0,629.125,6.29125,18,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
MagicTelescope,bin,19020,RF-40,cortex-m0,recovered,20612,0,1666.750977,34.72397868,42,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
MagicTelescope,bin,19020,RF-40,cortex-m4f,recovered,16860,0,1243.5625,12.435625,22,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
MagicTelescope,bin,19020,LinearSVM,cortex-m0,recovered,104,0,2096.875732,43.68491109,158,16,16,,,,"{""C"": 10.0}"
MagicTelescope,bin,19020,LinearSVM,cortex-m4f,recovered,96,0,68.31274414,0.683127441,0,16,16,,,,"{""C"": 10.0}"
MagicTelescope,bin,19020,LogReg,cortex-m0,recovered,104,0,2091.813232,43.57944234,111,16,16,,,,"{""C"": 100}"
MagicTelescope,bin,19020,LogReg,cortex-m4f,recovered,96,0,68.31274414,0.683127441,0,16,16,,,,"{""C"": 100}"
MagicTelescope,bin,19020,GaussianNB,cortex-m0,recovered,332,0,10907.31323,227.2356923,60,16,16,,,,"{""var_smoothing"": 1e-06}"
MagicTelescope,bin,19020,GaussianNB,cortex-m4f,recovered,320,0,210.3125,2.103125,0,16,16,,,,"{""var_smoothing"": 1e-06}"
eeg-eye-state,bin,14980,DTree-d3,cortex-m0,recovered,210,0,99.87597656,2.080749512,2,16,5,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
eeg-eye-state,bin,14980,DTree-d3,cortex-m4f,recovered,194,0,42.625,0.42625,1,16,5,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
eeg-eye-state,bin,14980,DTree-d6,cortex-m0,recovered,462,0,113.2509766,2.359395345,15,16,11,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
eeg-eye-state,bin,14980,DTree-d6,cortex-m4f,recovered,390,0,52.3125,0.523125,9,16,11,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
eeg-eye-state,bin,14980,RF-20,cortex-m0,recovered,7992,0,858.8134766,17.89194743,40,16,10,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 20}"
eeg-eye-state,bin,14980,RF-20,cortex-m4f,recovered,6598,0,560.4375,5.604375,16,16,10,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 20}"
eeg-eye-state,bin,14980,RF-40,cortex-m0,recovered,23248,0,1755.688477,36.57684326,77,16,12,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
eeg-eye-state,bin,14980,RF-40,cortex-m4f,recovered,19038,0,1196.875,11.96875,42,16,12,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
eeg-eye-state,bin,14980,LinearSVM,cortex-m0,recovered,120,0,2968.438232,61.84246318,141,16,16,,,,"{""C"": 1.0}"
eeg-eye-state,bin,14980,LinearSVM,cortex-m4f,recovered,112,0,88.31274414,0.883127441,0,16,16,,,,"{""C"": 1.0}"
eeg-eye-state,bin,14980,LogReg,cortex-m0,recovered,120,0,2936.188232,61.17058818,73,16,16,,,,"{""C"": 1}"
eeg-eye-state,bin,14980,LogReg,cortex-m4f,recovered,112,0,88.31274414,0.883127441,0,16,16,,,,"{""C"": 1}"
eeg-eye-state,bin,14980,GaussianNB,cortex-m0,recovered,396,0,15086.81323,314.308609,43,16,16,,,,"{""var_smoothing"": 1e-08}"
eeg-eye-state,bin,14980,GaussianNB,cortex-m4f,recovered,384,0,282.3125,2.823125,0,16,16,,,,"{""var_smoothing"": 1e-08}"
nomao,bin,34465,DTree-d3,cortex-m0,recovered,194,0,97.7512207,2.036483765,0,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0001}"
nomao,bin,34465,DTree-d3,cortex-m4f,recovered,176,0,41.75,0.4175,0,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0001}"
nomao,bin,34465,DTree-d6,cortex-m0,recovered,626,0,114.5012207,2.385442098,10,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
nomao,bin,34465,DTree-d6,cortex-m4f,recovered,490,0,51.25,0.5125,9,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
nomao,bin,34465,RF-20,cortex-m0,recovered,14744,0,1008.126221,21.0026296,55,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 1}"
nomao,bin,34465,RF-20,cortex-m4f,recovered,10996,0,637.1875,6.371875,46,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 1}"
nomao,bin,34465,RF-40,cortex-m0,recovered,27208,0,1868.438721,38.92580668,163,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
nomao,bin,34465,RF-40,cortex-m4f,recovered,20368,0,1177.4375,11.774375,127,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
nomao,bin,34465,LinearSVM,cortex-m0,recovered,764,0,31156.18848,649.0872599,364,16,16,,,,"{""C"": 0.1}"
nomao,bin,34465,LinearSVM,cortex-m4f,recovered,752,0,888.3127441,8.883127441,0,16,16,,,,"{""C"": 0.1}"
nomao,bin,34465,LogReg,cortex-m0,recovered,764,0,31143.68848,648.8268433,483,16,16,,,,"{""C"": 1}"
nomao,bin,34465,LogReg,cortex-m4f,recovered,752,0,888.3127441,8.883127441,0,16,16,,,,"{""C"": 1}"
nomao,bin,34465,GaussianNB,cortex-m0,recovered,2968,0,184092.8135,3835.266947,454,16,16,,,,"{""var_smoothing"": 1e-06}"
nomao,bin,34465,GaussianNB,cortex-m4f,recovered,2944,0,3162.3125,31.623125,0,16,16,,,,"{""var_smoothing"": 1e-06}"
credit-default,bin,30000,DTree-d3,cortex-m0,recovered,194,0,90.75097656,1.890645345,8,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0001}"
credit-default,bin,30000,DTree-d3,cortex-m4f,recovered,176,0,39.625,0.39625,5,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0001}"
credit-default,bin,30000,DTree-d6,cortex-m0,recovered,362,0,98.81347656,2.058614095,18,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0}"
credit-default,bin,30000,DTree-d6,cortex-m4f,recovered,316,0,45.75,0.4575,11,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0}"
credit-default,bin,30000,RF-20,cortex-m0,recovered,7236,0,684.5009766,14.26043701,140,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20}"
credit-default,bin,30000,RF-20,cortex-m4f,recovered,6322,0,476.0625,4.760625,94,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20}"
credit-default,bin,30000,RF-40,cortex-m0,recovered,14616,0,1318.000977,27.45835368,198,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20}"
credit-default,bin,30000,RF-40,cortex-m4f,recovered,12776,0,940.5625,9.405625,136,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20}"
credit-default,bin,30000,LinearSVM,cortex-m0,recovered,156,0,4671.688232,97.32683818,134,16,16,,,,"{""C"": 1.0}"
credit-default,bin,30000,LinearSVM,cortex-m4f,recovered,148,0,133.3127441,1.333127441,0,16,16,,,,"{""C"": 1.0}"
credit-default,bin,30000,LogReg,cortex-m0,recovered,156,0,4674.188232,97.37892151,44,16,16,,,,"{""C"": 10}"
credit-default,bin,30000,LogReg,cortex-m4f,recovered,148,0,133.3127441,1.333127441,0,16,16,,,,"{""C"": 10}"
credit-default,bin,30000,GaussianNB,cortex-m0,recovered,540,0,24581.62573,512.1172028,468,16,16,,,,"{""var_smoothing"": 1e-09}"
credit-default,bin,30000,GaussianNB,cortex-m4f,recovered,528,0,444.3125,4.443125,0,16,16,,,,"{""var_smoothing"": 1e-09}"
higgs,bin,98050,DTree-d3,cortex-m0,recovered,206,0,99.31347656,2.069030762,3,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0}"
higgs,bin,98050,DTree-d3,cortex-m4f,recovered,182,0,42.8125,0.428125,2,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0}"
higgs,bin,98050,DTree-d6,cortex-m0,recovered,554,0,107.5634766,2.240905762,19,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0001}"
higgs,bin,98050,DTree-d6,cortex-m4f,recovered,478,0,48.5625,0.485625,10,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0001}"
higgs,bin,98050,RF-20,cortex-m0,recovered,12772,0,876.4384766,18.25913493,110,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 5}"
higgs,bin,98050,RF-20,cortex-m4f,recovered,10464,0,610.1875,6.101875,82,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 5}"
higgs,bin,98050,RF-40,cortex-m0,recovered,22596,0,1664.313477,34.67319743,224,16,15,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 20}"
higgs,bin,98050,RF-40,cortex-m4f,recovered,18410,0,1157.25,11.5725,154,16,15,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.3, ""min_samples_leaf"": 20}"
higgs,bin,98050,LinearSVM,cortex-m0,recovered,176,0,5785.813232,120.5377757,261,16,16,,,,"{""C"": 0.01}"
higgs,bin,98050,LinearSVM,cortex-m4f,recovered,168,0,158.3127441,1.583127441,0,16,16,,,,"{""C"": 0.01}"
higgs,bin,98050,LogReg,cortex-m0,recovered,176,0,5818.375732,121.2161611,196,16,16,,,,"{""C"": 100}"
higgs,bin,98050,LogReg,cortex-m4f,recovered,168,0,158.3127441,1.583127441,0,16,16,,,,"{""C"": 100}"
higgs,bin,98050,GaussianNB,cortex-m0,recovered,620,0,30142.56323,627.9700673,192,16,16,,,,"{""var_smoothing"": 1e-08}"
higgs,bin,98050,GaussianNB,cortex-m4f,recovered,608,0,534.3125,5.343125,0,16,16,,,,"{""var_smoothing"": 1e-08}"
churn,bin,5000,DTree-d3,cortex-m0,recovered,198,0,91.75073242,1.911473592,8,16,16,,,,"{""min_samples_leaf"": 5, ""ccp_alpha"": 0.0001}"
churn,bin,5000,DTree-d3,cortex-m4f,recovered,176,0,41.25,0.4125,5,16,16,,,,"{""min_samples_leaf"": 5, ""ccp_alpha"": 0.0001}"
churn,bin,5000,DTree-d6,cortex-m0,recovered,358,0,102.8757324,2.143244425,1,16,16,,,,"{""min_samples_leaf"": 5, ""ccp_alpha"": 0.001}"
churn,bin,5000,DTree-d6,cortex-m4f,recovered,304,0,49.625,0.49625,1,16,16,,,,"{""min_samples_leaf"": 5, ""ccp_alpha"": 0.001}"
churn,bin,5000,RF-20,cortex-m0,recovered,6308,0,832.6882324,17.34767151,37,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
churn,bin,5000,RF-20,cortex-m4f,recovered,5314,0,601.3125,6.013125,21,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
churn,bin,5000,RF-40,cortex-m0,recovered,18648,0,1630.375732,33.96616109,277,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
churn,bin,5000,RF-40,cortex-m4f,recovered,15570,0,1205.9375,12.059375,176,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
churn,bin,5000,LinearSVM,cortex-m0,recovered,192,0,5608.500488,116.8437602,180,16,16,,,,"{""C"": 0.1}"
churn,bin,5000,LinearSVM,cortex-m4f,recovered,184,0,178.3127441,1.783127441,0,16,16,,,,"{""C"": 0.1}"
churn,bin,5000,LogReg,cortex-m0,recovered,192,0,5616.000488,117.0000102,263,16,16,,,,"{""C"": 100}"
churn,bin,5000,LogReg,cortex-m4f,recovered,184,0,178.3127441,1.783127441,0,16,16,,,,"{""C"": 100}"
churn,bin,5000,GaussianNB,cortex-m0,recovered,688,0,33797.68799,704.1184998,170,16,16,,,,"{""var_smoothing"": 1e-09}"
churn,bin,5000,GaussianNB,cortex-m4f,recovered,672,0,606.3125,6.063125,0,16,16,,,,"{""var_smoothing"": 1e-09}"
jm1,bin,10885,DTree-d3,cortex-m0,recovered,174,0,83.93847656,1.748718262,9,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
